timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,mid,width,sma_20,sma_50,sma_cross,target
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,52.34238910734252,140.92621323692947,299.01827215945264,-158.09205892252317,31025.671343524067,29488.730656475935,30257.201,5.0795864662039705,30257.201,28981.8908,1275.3102,0
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,42.02598837818405,58.83408070407313,250.98143386837674,-192.1473531643036,31041.974270086193,29313.426729913805,30177.7005,5.727896796418895,30177.7005,29023.1166,1154.5838999999978,1
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,42.72823090551903,-1.9727363026249805,200.3905998341764,-202.3633361368014,31056.948711702946,29170.862288297056,30113.9055,6.263174410924183,30113.9055,29093.1308,1020.7747000000018,1
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,44.43017368368741,-39.77496915627853,152.35748603608545,-192.13245519236398,31083.197143847996,29090.266856152004,30086.732,6.623950675985653,30086.732,29135.5684,951.1635999999999,0
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,42.98596683313071,-79.24378442160378,106.03723194454761,-185.2810163661514,31087.200646340207,28974.07135365979,30030.636,7.036578554914443,30030.636,29193.237199999996,837.3988000000027,1
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,44.36335954794578,-101.97560510615585,64.43466453440692,-166.41026964056277,31076.040682667237,28888.18231733276,29982.1115,7.2972124239297695,29982.1115,29249.547800000004,732.5636999999952,1
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,44.970769382471374,-115.53135515694521,28.441460596136494,-143.9728157530817,31065.53478539152,28817.907214608484,29941.721,7.506674618947372,29941.721,29307.0496,634.6714000000029,0
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,44.0120784027513,-130.56379345706227,-3.3595902145032603,-127.20420324255902,31022.436034242153,28747.957965757854,29885.197000000004,7.610718003579827,29885.197000000004,29375.847200000004,509.34979999999996,0
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,43.33542419414355,-144.74950672972045,-31.6375735175467,-113.11193321217375,30934.032958664546,28697.376041335454,29815.7045,7.50160680365306,29815.7045,29441.981200000002,373.72329999999783,1
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,51.17645722103735,-116.42287745069189,-48.59463430417574,-67.82824314651614,30870.506282356822,28693.501717643172,29782.003999999997,7.30979877886542,29782.003999999997,29517.9972,264.00679999999556,0
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,43.98242926126019,-134.3827789847819,-65.75226324029697,-68.63051574448494,30471.81327464701,28865.37272535299,29668.593,5.414616558641727,29668.593,29583.032400000004,85.56059999999707,1
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,44.10659022923214,-146.31383826095043,-81.86457824442766,-64.44926001652277,30384.020257944532,28841.32874205547,29612.6745,5.20956496478919,29612.6745,29664.333199999997,-51.658699999996315,0
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,43.03427798519182,-160.34798626066913,-97.56125984767596,-62.786726412993175,30288.247270050717,28819.548729949278,29553.897999999997,4.9695594811264465,29553.897999999997,29734.6432,-180.7452000000012,0
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,42.4501670842676,-172.85533314067288,-112.62007450627536,-60.235258634397525,30188.923345572483,28802.886654427515,29495.905,4.6990817577727055,29495.905,29789.1858,-293.28080000000045,1
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,42.77567981328561,-179.38518801087048,-125.97309720719439,-53.412090803676094,30091.507671377938,28795.34432862206,29443.426,4.40221644979724,29443.426,29840.6144,-397.1883999999991,1
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,45.284834119946886,-172.67364766118408,-135.31320729799234,-37.36044036319174,30037.1588541554,28784.886145844597,29411.0225,4.257834654714245,29411.0225,29898.036200000002,-487.01370000000315,1
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,54.98075170550214,-120.82621692953398,-132.41580922430066,11.589592294766675,30010.753637928046,28797.41236207196,29404.083000000002,4.126438072753665,29404.083000000002,29956.557599999996,-552.4745999999941,0
2023-08-09,29770.41,30160.0,29376.67,29581.99,38003.88725,51.65969452031793,-93.8595265622389,-124.70455269188832,30.845026129649426,29978.463718966595,28807.90128103341,29393.182500000003,3.9824283673031515,29393.182500000003,29982.037599999996,-588.8550999999934,0
2023-08-10,29581.99,29738.0,29320.2,29455.75,23463.45373,49.50233280618179,-81.73258081507083,-116.11015831652483,34.377577501454,29909.053186683912,28832.71481331609,29370.884000000002,3.6646441195567014,29370.884000000002,29971.2748,-600.3907999999974,0
2023-08-11,29455.76,29564.52,29252.45,29426.03,20637.0443,48.983700900410035,-73.67081328307177,-107.62228930983423,33.951476026762464,29855.55094371386,28849.420056286144,29352.485500000003,3.4277536307026417,29352.485500000003,29962.097,-609.6114999999991,1
2023-08-12,29426.02,29481.35,29381.56,29430.17,8971.48068,49.06375741707736,-66.18480381175686,-99.33479221021877,33.1499883984619,29698.040019153206,28941.57298084679,29319.8065,2.580054675007541,29319.8065,29936.9304,-617.1239000000023,0
2023-08-13,29430.18,29474.65,29272.32,29303.84,11101.70947,46.657721509681494,-69.64306073523403,-93.39644591522182,23.753385179987788,29698.788684192776,28953.55831580722,29326.173499999997,2.541178338133876,29326.173499999997,29912.458599999998,-586.285100000001,1
2023-08-14,29303.85,29695.32,29102.45,29430.93,31443.11532,49.348766114261366,-61.420634555794095,-87.00128364333628,25.580649087542184,29708.748259960375,28963.800740039624,29336.2745,2.539339205872074,29336.2745,29891.824,-555.549500000001,0
2023-08-15,29430.92,29499.26,29059.6,29200.0,27503.87691,44.91479913099828,-72.7003788932052,-84.14110269331006,11.440723800104863,29705.731833248345,28951.621166751658,29328.6765,2.571240016564288,29328.6765,29870.4642,-541.7876999999971,0
2023-08-16,29200.01,29259.85,28723.08,28730.51,32996.69854,37.531609546482706,-118.16148481119308,-90.94517911688666,-27.216305694306413,29761.29953113462,28846.826468865384,29304.063000000002,3.1206357366527526,29304.063000000002,29831.2256,-527.1625999999997,0
2023-08-17,28730.51,28783.48,25166.0,26623.41,100271.54033,20.914712231761854,-320.5203400482387,-136.8602113031571,-183.66012874508164,30424.048224870086,27915.004775129913,29169.5265,8.60159128650982,29169.5265,29762.1456,-592.6190999999999,0
2023-08-18,26623.41,26832.6,25619.0,26054.0,69790.65711,18.527484594931977,-520.8339691935216,-213.65496288123,-307.1790063122916,30848.374669639972,27160.78833036003,29004.5815,12.713806400826517,29004.5815,29674.279400000003,-669.6979000000028,1
2023-08-19,26054.0,26281.0,25801.09,26100.01,26160.75343,19.32874298664146,-668.169103490327,-304.5577910030494,-363.6113124872776,31074.96605765415,26616.088942345858,28845.527500000004,15.457776306251608,28845.527500000004,29586.839600000003,-741.3120999999992,1
2023-08-20,26100.01,26299.0,25971.05,26189.99,19056.91209,20.965767361027446,-768.8102588112997,-397.40828456469944,-371.4019742466003,31195.07551773582,26191.753482264186,28693.414500000003,17.43717895781149,28693.414500000003,29498.921400000003,-805.5069000000003,0
2023-08-21,26190.0,26258.42,25812.0,26126.92,30267.24233,20.649461974517948,-843.930021426746,-486.71263193710877,-357.2173894896372,31205.655419226525,25823.266580773474,28514.461,18.875997124592505,28514.461,29409.1192,-894.6582000000017,0
